team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
44,Colorado State,Colorado State,Colorado State,Rams,Fort Collins,CO,Mountain West,FBS,#1E4D2B,#C8C372
45,Columbia,,Columbia,Lions,New York,NY,Ivy,FCS,#7CC2F1,#004B85
46,Connecticut,UCONN,Connecticut,Huskies,Storrs,CT,American,FBS,#000E2F,#FFFFFF
47,Cornell,,Cornell,Big Red,Ithaca,NY,Ivy,FCS,#D60027,#FFFFFF
48,Dartmouth,,Dartmouth,Big Green,Hanover,NH,Ivy,FCS,#005730,#FFFFFF
49,Davidson,,Davidson,Wildcats,Davidson,NC,Pioneer,FCS,#000000,#E51937
50,Dayton,,Dayton,Flyers,Dayton,OH,Pioneer,FCS,#151A66,#E70808
51,Delaware,Delaware,Delaware,Fightin' Blue Hens,Newark,DE,CAA,FCS,#01539B,#FFDD00
52,Delaware State,Delaware State,Delaware State,Hornets,Dover,DE,MEAC,FCS,#F11A2D,#01A9EF
53,Drake,,Drake,Bulldogs,Des Moines,IA,Pioneer,FCS,#0053A0,#FFFFFF
54,Duke,Duke,Duke,Blue Devils,Durham,NC,ACC,FBS,#001A57,#FFFFFF
55,Duquesne,,Duquesne,Dukes,Pittsburgh,PA,Northeast,FCS,#002D62,#D31145
56,East Carolina,East Carolina,East Carolina,Pirates,Greenville,NC,American,FBS,#592A8A,#FDC82F
57,East Tennessee State,,East Tennessee State,Buccaneers,Johnson City,TN,Southern,FCS,#025BA3,#BE9434
58,Eastern Illinois,Eastern Illinois,Eastern Illinois,Panthers,Charleston,IL,Ohio Valley,FCS,#000000,#FFFFFF
59,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Colonels,Richmond,KY,Ohio Valley,FCS,#730B27,#FFFFFF
60,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eagles,Ypsilanti,MI,MAC,FBS,#006633,#FFFFFF
61,Eastern Washington,Eastern Washington,Eastern Washington,Eagles,Cheney,WA,Big Sky,FCS,#D72E34,#FFFFFF
62,Elon,Elon,Elon,Phoenix,Elon,NC,CAA,FCS,#040404,#AEA460
63,FIU,Florida International (FIU),Florida Intl,Panthers,Miami,FL,C-USA,FBS,#081E3F,#B6862C
64,Florida,Florida,Florida,Gators,Gainesville,FL,SEC,FBS,#0021a5,#FA4616
65,Florida A&M,Florida A&M,Florida A&M,Rattlers,Tallahassee,FL,MEAC,FCS,#F89728,#00B552
66,Florida Atlantic,Florida Atlantic,Florida Atlantic,Owls,Boca Raton,FL,C-USA,FBS,#003366,#CC0000
67,Florida State,Florida State,Florida State,Seminoles,Tallahassee,FL,ACC,FBS,#782F40,#CEB888
68,Fordham,Fordham,Fordham,Rams,New York,NY,Patriot,FCS,#830032,#FFFFFF
69,Fresno State,Fresno State,Fresno State,Bulldogs,Fresno,CA,Mountain West,FBS,#C41230,#002C76
70,Furman,Furman,Furman,Paladins,Greenville,SC,Southern,FCS,#3A1769,#FFFFFF
71,Gardner-Webb,Gardner-Webb,Gardner-Webb,Runnin' Bulldogs,Boiling Springs,NC,Big South,FCS,#BF2C37,#FFFFFF
72,Georgetown,,Georgetown,Hoyas,Washington,DC,Patriot,FCS,#49487C,#FFFFFF
73,Georgia,Georgia,Georgia,Bulldogs,Athens,GA,SEC,FBS,#DA291C,#000000
74,Georgia Southern,Georgia Southern,Georgia Southern,Eagles,Statesboro,GA,Sun Belt,FBS,#011e41,#FFFFFF
75,Georgia State,Georgia State,Georgia State,Panthers,Atlanta,GA,Sun Belt,FBS,#0039A6,#FFFFFF
76,Georgia Tech,Georgia Tech,Georgia Tech,Yellow Jackets,Atlanta,GA,ACC,FBS,#C59353,#FFFFFF
77,Grambling,Grambling State,Grambling,Tigers,Grambling,LA,SWAC,FCS,#F88400,#101008
78,Hampton,Hampton,Hampton,Pirates,Hampton,VA,MEAC,FCS,#0067AC,#FFFFFF
79,Harvard,,Harvard,Crimson,Cambridge,MA,Ivy,FCS,#C41130,#FFFFFF
80,Hawai'i,Hawaii,Hawai'i,Rainbow Warriors,Honolulu,HI,Mountain West,FBS,#004231,#000000
81,Holy Cross,Holy Cross,Holy Cross,Crusaders,Worcester,MA,Patriot,FCS,#090909,#1B2154
82,Houston,Houston,Houston,Cougars,Houston,TX,American,FBS,#C92839,#FFFFFF
83,Houston Baptist,Houston Baptist,Houston Baptist,Huskies,Houston,TX,Southland,FCS,#702D07,#00529C
84,Howard,Howard,Howard,Bison,Washington,DC,MEAC,FCS,#EE3A43,#09347A
85,Idaho,Idaho,Idaho,Vandals,Moscow,ID,Sun Belt,FBS,#9F9D9D,#B18E5F
86,Idaho State,Idaho State,Idaho State,Bengals,Pocatello,ID,Big Sky,FCS,#FF8400,#000000
87,Illinois,Illinois,Illinois,Fighting Illini,Urbana–Champaign,IL,Big Ten,FBS,#e04e39,#13294b
88,Illinois State,,Illinois State,Redbirds,Normal,IL,Missouri Valley,FCS,#E61731,#010000
89,Incarnate Word,Incarnate Word,Incarnate Word,Cardinals,San Antonio,TX,Southland,FCS,#CB333B,#FFFFFF
90,Indiana,Indiana,Indiana,Hoosiers,Bloomington,IN,Big Ten,FBS,#990000,#EEEDEB
91,Indiana State,Indiana State,Indiana State,Sycamores,Terre Haute,IN,Missouri Valley,FCS,#00669A,#FFFFFF
